w_idx,cbow_cos_ref,cbow_cos_syn1,cbow_cos_syn0,cbow_dist_syn0,sk_no,sk_word,sk_cos_ref,sk_cos_syn1,sk_cos_syn0,sk_dist_syn0,target
8052,2.79219388961792,0.034032547145670486,-0.2253584399971174,0.45168110956623736,2,国道,4.061339855194092,0.03213939083382893,-0.46106313170751057,0.29577812533201137,0
34752,6.089903354644775,-1.700961133797122,-1.4346798753056476,1.4567646811453436,2,小肚,5.053923606872559,-1.6314532093887943,-1.4344688313823242,1.601416669425553,0
10676,3.5062544345855713,0.8068837133668773,-0.24612781081349602,-0.11249175724621675,2,gucci,4.330025672912598,1.0232910513462354,1.1353023379246268,-0.5410760504913146,1
62864,3.9994540214538574,0.6357808971221968,0.8706401146554418,-0.7423476518622948,2,秋吉,7.362490653991699,0.5373122010871286,0.655645228676864,-0.9385278296962679,0
104724,5.960777759552002,0.22426397616238147,1.0355260114608194,-1.0536063816030694,2,硫酸,8.714917182922363,0.0387105661215942,0.10458439648834492,-0.4175909145699704,0
11708,2.5175232887268066,-1.1223462133975868,0.6092839352950884,-0.6893029750034578,1,面向,0.9169512987136841,-1.168186805003367,0.6725476612060183,0.8150313690801224,0
1875,2.988110303878784,1.0495996075157845,-0.49456467530361775,0.2539507162616739,1,垦丁,4.060779094696045,1.2911274242057629,0.34317584378790167,-1.6734915886895128,1
77876,3.4717047214508057,0.9638355083997283,1.296006690414876,-0.860157207102373,1,良哥,1.9370591640472412,-0.7084855706186846,-0.266192972119253,0.35608646190374554,0
7041,4.683330535888672,-0.05014526194053149,-1.300960017236666,1.6176329813083117,1,礼服,4.3152899742126465,0.6767948150585927,-1.6153605419775499,0.6267947231759037,0
4342,1.3430993556976318,-0.8409436405773945,-0.10976593316967996,-0.3221235154641681,1,过度,2.274412155151367,-0.09124986364230621,0.8658300091028788,-0.12442096547023923,0
31317,5.987148284912109,0.6768984381607548,0.351075417581595,-0.38153098917242345,3,餐垫,3.0167274475097656,-0.7848794781626985,0.35862114562760716,-0.23754112715639464,0
34952,6.719394207000732,-1.297104457784738,-1.2362867528249437,1.2026047820110881,3,音波净肤仪,5.900350570678711,-1.099811698034913,-1.3177158014929924,1.3954766135479995,0
30506,4.814813613891602,0.40317741820623326,0.685750816679089,-0.6673614619907074,3,浴厕,2.6657180786132812,0.9794679367136788,0.5421537191878936,-0.657692403705052,0
24419,4.750256061553955,-0.8061511552208807,-0.8641666968678691,0.9108155364353588,3,balenciaga,7.623697280883789,-0.18193799924916051,-0.728056470098266,0.5979758484565799,0
6246,4.081729888916016,1.0231797566386305,1.0636272154321291,-1.0645278672833187,3,kitchen,4.17970085144043,1.0871612387330924,1.144997406775758,-1.0982189311431403,1
76781,3.9556102752685547,1.6416058795192874,0.3276959288807417,0.5083715490806159,5,书坊,4.560614109039307,0.1654016352038621,0.20954731996908368,-0.7988978422160298,0
10083,4.712991714477539,0.11649103272910055,1.5311696119578682,-1.2668999742903777,5,凤林,8.403958320617676,0.6992713884952476,-0.8718481163231785,1.2039821778401836,1
